"id","frame","x [px]","y [px]","sigma [px]","intensity [ADU]","offset [ADU]","bkgstd [ADU]","uncertainty_xy [px]"
79,14,32.67735,24.28805,1.22559,41065.04574,1096.43296,247.63628,0.05434
80,14,34.55187,13.24823,3.01687,37059.34079,933.64948,166.85821,0.24546
81,14,35.18882,9.75873,4.49853,93051.95376,827.26094,188.36107,0.23983
82,14,36.09186,7.51062,4.53302,130273.06107,583.47747,145.6407,0.14042
83,14,48.15234,25.38185,1.16494,5492.73551,855.80432,166.50011,0.2592
84,14,54.08339,27.79112,1.20831,21380.23007,806.51688,114.1769,0.05334
85,15,14.76265,52.77159,1.28598,17931.09788,1026.27649,151.46699,0.08906
86,15,19.56213,39.45039,2.75145,221732.96434,858.5592,1017.26737,0.18139
87,15,23.30852,22.05626,2.37326,24429.17434,821.9817,165.3966,0.23006
88,15,19.99431,38.59358,2.86085,217002.31408,1072.75839,1056.19486,0.20763
89,15,29.55083,19.75843,1.23067,35997.2443,1265.66604,404.81251,0.09715
90,15,34.68424,15.01814,2.9057,70289.10227,873.49525,220.98421,0.15331
91,15,34.61699,15.92815,1.56597,27559.02306,1266.89516,443.31356,0.21867
92,15,45.56595,25.44859,1.27029,49031.97942,852.42401,116.13245,0.02648
93,15,56.80702,29.67212,1.42777,31903.4096,821.67296,110.00518,0.04787
94,16,21.85295,34.05647,1.33452,6352.33007,726.52282,91.44788,0.18008
95,16,22.04733,22.64173,1.46613,52452.26778,884.55237,127.00868,0.03457
96,16,39.20863,24.96536,1.87813,75787.93379,813.72154,294.98402,0.07814
97,16,56.77378,29.66126,1.4585,32390.96356,794.44777,122.33793,0.05322
98,17,15.97115,46.68923,1.32221,65081.67955,1446.82068,707.65448,0.1043
99,17,15.38879,52.41649,3.55714,48900.56652,804.61246,146.14271,0.23096
100,17,18.66939,41.32514,1.05853,34400.54932,1475.40692,1064.57809,0.19218
101,17,22.27042,22.56646,1.75866,23293.33798,826.26272,136.42309,0.11478
102,17,31.70027,29.05029,1.47427,55611.79568,935.50206,171.98247,0.04192
103,17,32.92798,17.76935,1.48725,24945.40328,896.36604,126.91126,0.07345
104,18,15.80454,47.0719,1.03452,9124.90587,917.85613,368.97865,0.25329
105,18,18.6876,41.1873,1.25963,38686.17253,897.79179,210.27438,0.0527
106,18,30.01806,24.26786,1.33685,24086.7181,773.77556,102.67401,0.05291
107,18,39.81745,24.76675,1.11358,5574.5353,738.74124,90.40202,0.1447
108,18,49.23635,26.30247,1.29492,10436.72078,733.35292,88.8467,0.1019
109,19,15.80488,46.97633,1.3475,40923.7249,788.9909,135.92306,0.03961
110,19,23.21519,32.25778,1.1688,6085.78105,751.82829,86.85257,0.14097
111,19,29.59886,19.75224,1.33927,38683.84389,955.37711,153.03912,0.04544
112,19,35.19649,8.73415,2.94798,34555.23954,880.01136,150.22742,0.23036
113,19,49.25868,26.43688,1.18888,45209.45754,826.9537,126.90021,0.02709
114,20,15.06565,49.49227,3.69193,41057.79552,653.08416,112.66871,0.24008
115,20,23.16931,32.25179,1.22056,12277.23002,743.12813,93.49165,0.08069
116,20,29.68125,19.82589,1.40597,22684.23456,812.16401,95.05518,0.05827
117,20,50.55674,26.41539,1.47722,52030.79318,836.7651,132.19697,0.03643
118,21,16.72277,45.61339,2.81902,37776.92479,803.32534,143.39771,0.18576
119,21,23.8969,31.01182,1.24575,55217.56598,850.8868,134.51411,0.02543
120,21,34.32207,15.77537,2.50812,68086.59147,849.12526,209.68495,0.1132
121,21,34.00552,24.20451,1.35116,13811.95318,920.29388,162.50736,0.13427
122,21,50.86481,26.67723,1.74059,78914.78293,826.31127,309.89195,0.06772
123,22,6.10478,16.2291,1.95101,9990.22126,742.13333,91.58985,0.23873
124,22,15.30365,53.88618,3.68412,78110.52439,761.45297,157.08722,0.16488
125,22,15.47769,50.78905,6.29496,386917.59579,206.46127,174.76304,0.10618
126,22,17.59667,42.75673,1.78873,70091.85547,1068.85139,257.23587,0.06803
127,22,24.87741,28.98635,1.79839,87708.0559,885.47396,509.351,0.10259
128,22,34.6544,9.77179,2.17343,26463.30077,829.56699,125.33483,0.14255
129,22,40.74931,24.85177,1.21134,47224.8202,923.96807,146.47434,0.02999
130,22,49.25098,26.34606,1.25983,33535.20639,827.93507,144.74578,0.0446
131,23,15.38455,52.10519,2.8081,39728.76498,982.7066,131.26852,0.16322
132,23,19.27076,38.67058,1.65442,65454.39204,1069.53199,335.04373,0.07932
133,23,28.93382,20.57102,1.32541,41198.76441,902.19292,133.68593,0.03767
134,23,34.69659,12.63793,1.65806,10119.34052,849.0924,126.39509,0.22055
135,23,46.8905,26.13483,1.88483,6695.60602,685.76538,86.35209,0.31821
136,24,14.07746,56.67165,6.38227,212572.41611,538.83786,147.16001,0.17149
137,24,16.17154,46.28727,1.33337,48740.20028,947.50838,194.21575,0.04367
138,24,25.00641,28.70904,1.11526,15249.29461,844.16931,118.20334,0.0658
139,24,28.90781,20.52811,1.40289,41880.96191,895.58741,122.69221,0.03859
140,24,34.70059,10.03892,1.88387,13979.20976,845.97926,100.49895,0.17129
141,24,38.4573,24.7137,1.17385,22430.30713,805.80116,114.64608,0.0484
142,24,48.62786,26.31357,1.15404,9779.08944,756.1473,88.77609,0.08758
143,25,15.68612,48.5231,2.54462,62338.52612,763.64367,458.45636,0.25797
144,25,16.26499,46.31057,1.30768,34390.98577,982.40147,366.03778,0.10396
