"id","frame","x [px]","y [px]","sigma [px]","intensity [ADU]","offset [ADU]","bkgstd [ADU]","uncertainty_xy [px]"
79,15,50.08867,26.06812,1.36136,13115.02428,756.58332,87.92124,0.08872
80,16,16.07696,46.83856,1.48552,60441.55984,879.24416,127.17452,0.03091
81,16,34.95824,11.15425,2.06344,16923.69047,828.22508,108.69285,0.17957
82,16,38.44923,24.5062,1.255,31054.93616,761.2421,117.97791,0.04074
83,16,50.59945,26.02729,1.4808,8093.31629,743.07242,83.09851,0.16095
84,17,16.11124,46.69025,1.31777,45198.66108,817.00584,128.12594,0.03297
85,17,20.7758,36.23449,1.37514,24960.60912,765.47062,102.69994,0.05388
86,17,34.67263,11.39483,2.15073,34524.29371,881.50395,130.047,0.11049
87,17,40.15457,24.75449,1.35789,42097.27664,943.89797,245.22647,0.06378
88,17,48.15251,25.76339,2.14246,65757.04215,1080.01339,597.17294,0.22373
89,17,48.57888,25.87673,2.46537,96165.40104,769.22445,500.84526,0.17083
90,18,14.96285,58.26968,1.25454,43554.72048,779.4371,129.26384,0.03142
91,18,20.80606,36.14364,1.29228,49514.2339,826.10081,119.84843,0.0277
92,18,33.01106,16.95126,1.33056,5876.38755,812.15646,103.36486,0.21218
93,18,48.89778,26.08942,2.52322,129960.75334,788.07055,731.54237,0.1897
94,18,49.46349,26.27295,2.11269,90854.90353,1133.83686,766.46301,0.20004
95,18,59.82777,31.64435,3.10441,145665.36092,935.14392,641.48916,0.2249
96,19,14.91461,58.18804,1.25653,46387.01963,781.62008,123.31248,0.02862
97,19,20.71531,36.1026,1.36174,23616.58598,762.69311,115.28458,0.06091
98,19,25.0293,29.19768,1.12817,4145.0622,789.1966,103.67915,0.22052
99,19,33.05025,26.82822,1.43236,29961.50274,859.69917,125.23048,0.05653
100,19,40.84273,24.69704,1.2026,41623.95172,1105.02947,441.37919,0.0872
101,19,50.35586,26.45863,1.32797,42545.86124,1444.75701,671.3567,0.15287
102,19,57.51462,30.18632,1.50067,64830.77184,1286.68809,402.72647,0.07854
