"id","frame","x [px]","y [px]","sigma [px]","intensity [ADU]","offset [ADU]","bkgstd [ADU]","uncertainty_xy [px]"
79,15,29.54087,20.14159,1.06751,16399.51073,1528.78022,451.40672,0.18032
80,15,30.11023,20.80636,3.07063,80674.59978,1040.56379,425.57021,0.26966
81,15,34.49966,16.21559,1.4264,23458.571,1172.74143,447.61768,0.21653
82,15,48.10653,25.79592,2.2248,98778.46203,854.656,395.69636,0.10914
83,15,54.52694,28.36217,2.59421,66921.37377,766.26509,331.00228,0.18473
84,16,15.11584,53.71155,3.89959,45403.93531,753.56967,101.75789,0.22373
85,16,18.17156,41.85461,1.42204,47809.35567,1106.80293,426.93031,0.10125
86,16,21.40013,37.20978,2.84615,97909.75265,752.00134,497.30139,0.22128
87,16,26.41482,26.39523,1.05049,9172.17822,1002.44747,197.10792,0.14807
88,16,29.64211,19.71008,1.13293,12914.25819,1194.95637,371.00279,0.2132
89,16,34.81725,13.38564,3.1275,79153.59998,949.66088,274.15555,0.19059
90,16,34.70273,14.49521,2.12345,32960.06696,1275.15721,367.00233,0.27774
91,16,44.01632,25.33113,2.23232,59403.30954,782.04958,392.15768,0.18091
92,16,56.88312,29.62664,1.44901,31105.48851,891.50485,171.20639,0.07163
93,17,16.20266,46.23286,2.38416,77634.30138,959.82655,422.34239,0.16885
94,17,22.03159,34.18268,1.2482,23167.5302,835.48595,113.80144,0.05224
95,17,31.59141,29.31793,1.32406,35260.0465,950.7428,172.43945,0.05369
96,17,32.8776,17.84658,1.55696,31122.74888,909.34672,146.18319,0.07212
97,17,38.30662,24.94493,1.20452,17492.84752,1084.30089,263.84326,0.12978
98,17,45.49658,25.43467,1.78079,37170.78432,974.05602,279.05064,0.13621
99,18,14.79384,55.96788,1.32471,13520.369,773.40809,107.85547,0.09518
100,18,16.02178,46.47391,1.22424,44625.45842,1265.42996,781.12687,0.14437
101,18,18.62469,41.34564,1.09076,38240.83364,1385.71829,800.02957,0.13874
102,18,30.9917,24.68121,2.74401,121405.21987,913.62318,609.61906,0.20134
103,18,49.0228,25.72888,1.43358,14546.3973,762.54176,99.5899,0.09681
104,19,15.78938,47.03415,1.32751,55498.25111,880.01023,141.39229,0.02954
105,19,19.84723,39.27842,1.22107,22094.68797,972.29048,218.42642,0.08942
106,19,23.09349,32.25749,1.20159,50477.29507,927.12125,196.00756,0.03502
107,19,29.34964,20.38943,1.76966,50786.84582,924.24502,276.39108,0.09779
108,19,49.16696,26.42225,1.26675,46568.68147,796.57993,129.68677,0.03006
109,20,16.23976,46.39946,2.434,33944.85053,799.4379,151.24646,0.16175
110,20,23.9293,30.86438,1.23556,10403.02535,796.1631,118.96011,0.1167
111,20,28.74397,20.79831,2.30564,72427.2825,811.88219,464.25269,0.18506
112,20,49.0954,26.31597,1.24244,24685.13723,740.27083,94.72196,0.04254
113,21,16.90622,45.70679,1.9538,12077.34443,756.59259,94.26687,0.20257
114,21,23.83698,30.92322,1.21059,25068.29941,801.97757,100.63526,0.04174
115,21,32.842,24.26345,1.31984,45200.68387,930.67967,175.71376,0.04246
116,21,34.57685,14.43982,2.64703,68016.36428,961.7864,223.55735,0.13318
117,21,50.80624,26.50576,1.68471,105269.14693,933.87028,291.37022,0.04524
118,22,4.97424,12.72235,2.21745,12251.97078,717.49662,87.75359,0.24237
119,22,16.54548,46.50919,3.11567,73716.21793,802.58216,177.84656,0.13921
120,22,23.93905,30.84902,1.32182,60319.46134,906.68119,193.67052,0.03478
121,22,34.11877,24.38719,1.3719,71588.45863,1026.43595,220.6428,0.03517
122,22,35.09559,14.70151,2.20498,28150.13675,827.00247,132.69166,0.14432
123,22,40.7172,24.81051,1.16707,16223.84037,987.83104,262.84454,0.13137
124,22,50.48476,26.57498,1.64204,76679.86353,893.83047,326.98971,0.06535
125,23,5.64015,14.85117,2.26088,19996.34,758.1907,106.46793,0.17898
126,23,15.88512,51.79682,4.26938,83614.1785,638.22078,130.23737,0.17698
127,23,17.60401,42.44676,1.83488,70683.15069,1293.76446,406.68787,0.10725
128,23,25.45351,27.8843,1.16455,43403.80001,1033.83509,211.22875,0.04081
129,23,28.95791,20.57302,1.31034,39442.97391,987.59711,166.13361,0.04574
130,23,48.26333,26.15997,1.3495,62116.58347,845.69678,181.15489,0.03325
131,24,14.65279,54.56864,6.85939,412699.67407,96.82058,144.84268,0.10108
132,24,16.15251,46.27461,1.30051,47483.85265,1005.90237,220.96769,0.04769
133,24,19.65592,38.27161,1.40193,8013.7973,773.21698,90.63162,0.15601
134,24,28.91851,20.66609,1.35422,41999.4651,957.63088,198.56847,0.05305
135,24,34.63507,10.21382,2.7335,25959.03174,772.0935,123.14804,0.22457
136,24,55.54442,28.7787,1.37643,23911.54631,795.0355,106.41386,0.0578
137,25,15.24438,50.13884,2.32386,20137.94002,962.25888,157.94209,0.25747
138,25,16.15595,46.23513,1.30751,46578.73368,973.27967,196.63413,0.04448
139,25,25.11799,28.49884,1.27813,52486.67312,960.45407,265.34421,0.04901
140,25,29.21095,20.26831,1.44707,17694.65887,910.52466,183.24714,0.13234
141,25,38.46796,24.56098,1.23509,20660.22778,793.14209,93.67745,0.04963
142,25,50.8349,26.75392,1.23295,35974.84351,789.91763,112.10149,0.03292
143,26,16.19762,46.12494,1.32306,17741.39705,738.04329,103.37099,0.07037
144,26,26.76692,23.79403,1.3946,22196.54779,878.43742,132.81943,0.07562
145,26,27.83293,31.64638,1.40508,33588.33948,852.91768,125.11908,0.04872
146,26,35.90097,7.62618,2.02728,7282.93016,768.0849,83.44028,0.32893
147,26,38.57063,24.48523,1.24499,25263.67153,870.56927,108.20649,0.046
148,26,48.42651,26.25819,2.15458,93901.88862,793.94207,606.54118,0.16086
149,26,56.38436,29.19263,1.31158,30497.94966,1097.69399,459.17028,0.14537
150,27,5.06768,15.14344,2.50567,13310.78079,730.00989,109.89599,0.33641
151,27,15.11234,51.31531,1.37769,23626.75234,878.45056,225.31358,0.108
152,27,15.68769,47.97295,2.43599,35412.83759,710.6882,254.7028,0.24312
153,27,24.45882,29.59246,2.4528,105874.4185,730.89251,710.50815,0.2141
154,27,24.47179,29.56602,2.41641,104385.08099,724.16534,710.98891,0.21099
155,27,34.8096,9.92777,2.37239,20753.16427,749.281,106.73873,0.1899
156,27,38.58981,24.54334,1.24196,50275.83887,852.71057,143.53754,0.02909
157,27,57.52477,29.02996,1.25244,36301.76077,775.16819,125.911,0.03664
158,28,25.31131,27.8087,1.15164,43991.21928,1164.5396,334.2537,0.05898
159,28,32.8099,17.7617,1.25274,13231.09569,1134.61983,201.75751,0.14586
160,28,35.56063,25.23829,2.42689,101197.06297,923.53645,751.73665,0.23154
161,28,33.66847,15.63922,3.29377,57199.1406,780.2987,214.0554,0.23454
162,28,36.71372,25.00283,2.43212,108455.40542,859.79302,783.93948,0.2259
163,28,46.98759,25.79382,1.27706,47436.22258,873.38349,144.99595,0.03265
164,28,57.55355,29.48252,1.34376,20954.92138,779.29974,119.88399,0.06886
165,29,15.43708,48.08079,1.29386,44519.82262,866.11591,151.01308,0.03674
166,29,17.91398,41.22927,1.46282,12207.49997,912.52609,142.68325,0.15864
167,29,23.60349,23.42164,2.66667,175117.34412,833.4339,758.29591,0.16258
168,29,33.58751,25.79767,1.48263,23923.0501,946.49959,261.20932,0.13981
169,29,35.10123,14.59836,1.98984,37224.19854,891.81017,126.11581,0.08608
170,29,56.94864,28.82274,1.32958,71802.73965,873.82166,138.59228,0.02277
171,30,7.09364,16.87752,1.95135,22052.56196,772.33621,102.02936,0.11807
172,30,14.8157,52.48103,1.4175,12603.81764,704.52185,102.0551,0.1112
173,30,19.33009,39.88315,1.42175,17299.74223,764.01966,108.32387,0.08558
174,30,22.38496,22.79893,1.29522,42231.69439,1358.81678,639.19768,0.14014
175,30,25.28774,27.72176,1.23601,38794.58549,1282.82091,595.56815,0.13051
176,30,32.87814,17.27314,1.74103,41629.67686,1233.45271,361.21727,0.14717
177,30,33.62631,15.47948,3.33266,108438.18215,832.28613,342.77861,0.1933
178,30,32.65446,24.64366,3.3508,49081.68908,691.09715,150.02405,0.20893
179,30,57.25225,28.91269,1.31212,26911.37361,763.00339,102.13472,0.04569
180,31,5.93197,14.79399,2.76152,26398.73649,728.65805,119.03723,0.21933
181,31,15.2531,49.72321,1.67441,74862.39057,1120.45885,324.6479,0.06904
182,31,20.89338,35.96008,1.12804,13610.06574,959.49664,193.56416,0.11241
183,31,33.73111,26.10292,1.3911,33715.88506,818.22769,99.83866,0.04025
184,31,45.22843,25.39881,1.18246,22563.85055,907.98833,257.09471,0.09509
185,31,57.49647,28.89878,1.25823,21287.14423,827.00976,109.76685,0.05605
186,32,17.44072,43.34945,1.91483,56681.93334,894.55159,131.28182,0.05453
187,32,32.34715,18.15784,1.44905,16983.21207,836.85697,108.06185,0.09019
188,32,33.72631,26.02926,1.49118,35796.04101,857.72961,122.4495,0.05035
189,32,45.11187,25.45838,1.25123,25410.47559,765.44952,100.25091,0.04365
190,33,5.26373,13.36352,1.81764,22605.37464,811.97727,118.338,0.11257
191,33,15.39773,48.75421,1.4173,25912.41084,925.01755,214.86383,0.0998
192,33,18.30788,41.00267,1.44434,34086.07768,1336.67115,607.83785,0.20378
193,33,21.31442,35.2369,1.67613,79387.93646,1033.77997,416.72836,0.08199
194,33,33.05167,17.62822,1.33541,16127.39882,964.21506,145.49199,0.10279
195,33,33.85299,25.77462,1.40907,46903.07052,1067.70888,226.84971,0.05745
196,33,45.18092,25.46812,1.27328,39762.91661,806.84987,126.81285,0.03476
197,34,4.59003,12.56547,2.28424,35122.99498,945.24329,210.7875,0.1829
198,34,15.33211,49.21429,1.44501,36085.00418,1029.00289,168.49153,0.06073
199,34,17.07311,20.53998,1.59955,27380.15121,847.89562,121.7068,0.07449
200,34,18.35776,40.44167,1.5553,39907.07834,947.56526,150.09017,0.05754
201,34,27.33473,32.09123,1.28191,35304.11108,891.27712,165.78442,0.04886
202,34,33.80303,25.93704,1.24457,23098.41383,895.12785,148.60846,0.06422
203,34,36.62708,6.50174,2.81286,37833.01819,757.58654,109.05048,0.14854
204,34,45.13706,25.4149,1.23976,46042.43451,828.20912,130.88739,0.02942
205,35,14.9355,51.69139,2.22455,101532.79014,737.35546,588.91427,0.15405
206,35,16.63488,20.33668,1.5899,17590.4366,793.575,102.36512,0.09978
207,35,21.69915,34.39035,1.25793,51355.91242,838.19995,123.52489,0.02604
208,35,32.69666,17.61425,1.29594,7653.44215,804.05217,117.93209,0.17196
209,35,33.91021,25.72794,1.41456,13552.01353,850.63883,136.72596,0.12957
210,35,45.17087,25.44801,1.22821,49877.74798,841.78209,127.6857,0.02628
211,35,55.3153,28.62172,1.22502,9625.2324,910.06326,216.38395,0.20396
212,36,13.36845,18.86392,3.5406,28395.34012,676.89918,114.68349,0.32352
213,36,15.22866,50.76135,2.4797,67966.46109,718.92001,414.72441,0.20482
214,36,14.41351,19.14598,2.779,17222.4269,723.79426,118.41711,0.33839
215,36,16.6532,44.7364,2.12702,85894.09304,976.93332,399.17004,0.11581
216,36,21.6556,34.41846,1.29322,51603.24845,922.40026,166.38867,0.03435
217,36,37.16883,24.76806,1.57694,57374.69298,935.1374,263.28667,0.06644
218,36,49.46374,25.9706,1.30985,10997.25904,774.15993,104.29523,0.1114
219,37,14.6493,53.24084,1.33683,29872.01774,753.9916,116.37055,0.04709
220,37,16.25619,20.04553,1.60237,27542.41668,804.01423,105.30107,0.06653
221,37,21.67771,34.35285,1.27303,33282.04105,786.34013,114.58598,0.03826
222,37,49.38972,25.9816,1.37698,21551.78996,766.86766,100.546,0.06139
223,38,5.18983,13.66134,1.96028,49443.97637,864.8593,134.79102,0.06662
224,38,14.73857,52.83432,1.31034,81435.26412,918.04379,177.16835,0.02376
225,38,27.602,23.9956,1.33177,18290.07796,911.60193,249.00547,0.14262
226,38,34.38833,25.27662,1.32509,44175.21102,941.72489,154.30987,0.03938
227,38,42.55917,25.55975,1.41595,26161.35797,918.9695,168.9967,0.08048
228,39,5.13956,13.46047,1.82902,22302.06717,788.17038,121.36414,0.11778
229,39,15.28375,47.8199,1.43915,7535.38621,725.56848,98.05965,0.18488
230,39,27.5803,23.92624,1.39043,36607.44604,814.44336,122.31808,0.04316
231,39,42.48038,25.56893,1.4518,47617.73102,883.19404,170.58157,0.04711
232,40,15.54733,47.74537,1.15295,37932.00182,1155.70014,456.7829,0.09123
233,40,17.98685,42.12894,1.41267,31092.11328,1003.12097,445.79172,0.15985
234,40,24.33362,23.15435,1.3239,17380.0722,806.39704,98.49217,0.06936
235,40,34.80862,9.89892,2.40742,34371.00677,832.33001,117.58047,0.1277
236,40,43.29248,25.36146,2.07203,117887.20634,843.33859,642.25016,0.12537
237,40,52.69378,27.42585,1.38706,50060.90897,1046.89398,276.34411,0.06213
238,41,17.97323,41.41541,1.76032,14876.85543,745.30868,101.18717,0.14196
239,41,43.75087,25.21111,2.24184,129244.77375,778.08132,765.86928,0.15794
240,41,43.85734,25.21852,2.16384,119007.25852,876.43072,769.71933,0.16076
241,41,54.68895,28.33489,1.73553,35296.26967,961.12339,246.14591,0.12202
242,42,17.94175,41.46636,1.69449,42221.27408,906.77919,149.41025,0.06388
243,42,26.36832,26.7078,1.28764,10690.96729,768.75936,101.93538,0.10901
244,42,42.26011,24.95997,1.52878,63619.27691,894.15435,383.1628,0.07922
245,42,55.03332,28.45415,1.4858,61581.7885,982.54691,190.19664,0.04183
246,43,15.52862,48.97126,2.59419,36604.21053,733.04282,223.12186,0.23686
247,43,17.2113,43.515,2.16133,43860.7615,882.24889,198.93949,0.12516
248,43,21.102,22.17449,1.43962,22857.67922,866.35954,129.96966,0.07669
249,43,24.25746,30.05949,1.23309,30709.80974,846.40639,119.64189,0.04029
250,43,32.41725,17.93924,1.92853,24514.49207,880.01027,148.12904,0.13947
251,43,33.77235,12.96595,3.98761,37252.22333,716.59371,116.07429,0.31538
252,43,40.02967,24.73541,1.15349,16997.56636,1030.64478,424.67169,0.18997
253,43,48.45814,25.99967,2.41301,142848.96988,738.82096,724.52632,0.15661
254,44,14.29365,57.58345,3.4853,31568.15633,793.4335,117.64196,0.28792
255,44,17.33038,45.64053,2.76993,14166.56296,839.9532,131.13249,0.4433
256,44,19.98443,38.61594,1.3746,58590.76536,1093.14527,290.39967,0.05461
257,44,24.12555,30.18182,1.26749,45120.85972,1027.3337,343.869,0.07065
258,44,34.84829,16.02449,1.54326,23333.58933,917.69555,127.6933,0.08459
259,44,43.02196,25.39353,1.79734,109702.53503,996.87969,432.66157,0.07043
260,45,18.87572,40.06125,2.19127,113510.45533,840.66891,318.52562,0.07568
261,45,33.26556,17.54911,1.4903,6890.4116,773.97289,97.98293,0.2159
262,45,44.53248,25.36668,2.0201,118730.7653,896.32604,617.80761,0.11416
263,46,12.95314,18.27873,1.77123,14056.13262,737.64464,98.02354,0.14838
264,46,15.14421,49.33352,1.25774,39782.31239,970.62542,245.6037,0.05845
265,46,18.16062,40.86061,1.85622,106230.7841,1041.9628,254.46869,0.04797
266,46,28.73039,31.20685,1.38572,44151.16984,945.70718,116.90255,0.03455
267,46,33.11667,17.69407,1.54054,34116.71906,982.1071,147.43705,0.065
268,46,40.3736,25.16432,1.80749,22994.72758,1093.90284,261.5326,0.21353
269,46,44.82205,25.40741,1.63746,132560.9998,1086.82254,562.87806,0.06227
270,47,12.2024,17.22186,1.24251,3026.17252,720.70598,87.03645,0.31693
271,47,19.05021,38.94751,1.65938,57931.06318,869.66858,182.24616,0.0529
272,47,28.66589,31.09258,1.36329,32614.9497,850.98524,120.26482,0.04597
273,47,29.59808,19.89674,1.23051,7777.31024,783.65729,93.24486,0.12828
274,47,44.27585,25.45104,1.44532,43693.03504,924.79381,265.82445,0.0743
275,47,55.38148,28.83234,1.44785,8396.73221,786.85527,107.58679,0.18028
276,48,14.89324,51.88183,1.30698,63975.84422,832.69194,130.33255,0.02354
277,48,17.91159,21.18244,1.64841,11128.03111,853.89763,117.921,0.18778
278,48,30.88443,24.16453,1.17317,38384.22676,1770.91462,889.32443,0.17545
279,48,28.10742,29.28752,2.75109,121799.5947,775.49793,627.54121,0.20735
280,48,30.45758,23.30983,2.224,84639.4633,1210.83485,615.44586,0.19254
281,48,30.82767,24.19306,1.10008,35549.4609,1794.4835,724.82062,0.13792
282,49,15.34166,51.62368,2.22588,29064.90047,843.97073,113.7423,0.12608
283,49,24.86754,33.9533,1.3653,32562.8802,1133.16326,497.75765,0.15855
